codigo;latitude;longitude;altitude
SJJG;"19° 5' 28"" S";"55° 50' 33"" W";134 m
SNNK;"21° 17' 18"" S";"53° 53' 1"" W";403 m
SJCS;"9° 43' 11"" S";"65° 8' 40"" W";122 m
SNWQ;"29° 19' 45"" S";"54° 20' 13"" W";383 m
SSTA;"18° 8' 41"" S";"56° 5' 58"" W";135 m
SILI;"9° 11' 19"" S";"45° 2' 47"" W";621 m
SDQH;"10° 39' 12"" S";"58° 36' 10"" W";1 m
SJZM;"18° 56' 18"" S";"55° 12' 6"" W";152 m
SDNL;"22° 31' 1"" S";"54° 40' 41"" W";374 m
SWLJ;"14° 13' 6"" S";"46° 50' 20"" W";466 m
SIVF;"11° 39' 13"" S";"52° 44' 0"" W";330 m
SWHQ;"15° 11' 21"" S";"59° 56' 21"" W";323 m
SJUC;"15° 22' 19"" S";"48° 12' 23"" W";761 m
SJWE;"20° 2' 25"" S";"56° 18' 36"" W";100 m
SJRO;"20° 31' 50"" S";"50° 38' 6"" W";400 m
SJDB;"15° 3' 21"" S";"51° 21' 50"" W";260 m
SIUU;"16° 31' 4"" S";"57° 2' 28"" W";114 m
SIEN;"18° 7' 37"" S";"56° 31' 36"" W";119 m
SICW;"17° 27' 18"" S";"47° 49' 31"" W";966 m
SIDZ;"12° 13' 30"" S";"44° 2' 21"" W";785 m
SSKF;"3° 3' 25"" S";"60° 51' 1"" W";90 m
SSTF;"9° 34' 30"" S";"50° 21' 4"" W";230 m
SNFN;"20° 56' 15"" S";"47° 52' 5"" W";530 m
SIWS;"16° 8' 27"" S";"58° 30' 57"" W";168 m
SIIE;"21° 28' 16"" S";"55° 53' 21"" W";330 m
SITU;"17° 56' 42"" S";"50° 20' 18"" W";465 m
SSZF;"18° 28' 40"" S";"56° 1' 18"" W";46 m
SIQO;"18° 2' 23"" S";"56° 0' 20"" W";139 m
SNVH;"16° 14' 31"" S";"57° 59' 0"" W";130 m
SJEL;"23° 20' 26"" S";"50° 35' 6"" W";621 m
SDZH;"22° 53' 26"" S";"45° 29' 35"" W";544 m
SSHG;"30° 8' 9"" S";"52° 37' 44"" W";82 m
SSGZ;"22° 53' 42"" S";"53° 52' 4"" W";320 m
SSBT;"22° 19' 30"" S";"53° 5' 42"" W";287 m
SSRC;"21° 42' 11"" S";"54° 22' 6"" W";330 m
SIUG;"22° 29' 42"" S";"51° 54' 34"" W";340 m
SIXT;"19° 55' 37"" S";"55° 40' 21"" W";137 m
SDMD;"18° 0' 31"" S";"54° 43' 3"" W";342 m
SSNU;"22° 14' 27"" S";"48° 1' 30"" W";787 m
SIOS;"22° 46' 10"" S";"53° 57' 26"" W";400 m
SSPC;"13° 43' 54"" S";"51° 20' 24"" W";264 m
SWIB;"10° 51' 46"" S";"54° 54' 51"" W";386 m
SIIK;"20° 43' 19"" S";"53° 41' 16"" W";418 m
SDAY;"8° 55' 19"" S";"50° 20' 54"" W";217 m
SWHJ;"10° 44' 47"" S";"69° 11' 56"" W";291 m
SISL;"16° 53' 40"" S";"55° 54' 23"" W";137 m
SDLU;"22° 29' 0"" S";"48° 31' 28"" W";543 m
SJSL;"23° 20' 52"" S";"53° 30' 0"" W";354 m
SSSL;"23° 29' 6"" S";"53° 47' 10"" W";375 m
SWSZ;"9° 46' 25"" S";"58° 3' 46"" W";226 m
SILO;"14° 14' 56"" S";"50° 52' 50"" W";260 m
SJNM;"13° 59' 38"" S";"55° 56' 27"" W";465 m
SSLX;"22° 37' 59"" S";"52° 48' 30"" W";306 m
SWOS;"16° 34' 51"" S";"52° 8' 33"" W";663 m
SWFO;"10° 57' 58"" S";"46° 16' 5"" W";791 m
SNMB;"19° 25' 8"" S";"56° 39' 59"" W";100 m
SSDV;"18° 12' 56"" S";"55° 27' 53"" W";155 m
SDDJ;"20° 50' 56"" S";"50° 4' 46"" W";465 m
SWRY;"15° 44' 30"" S";"57° 29' 0"" W";143 m
SDWG;"13° 3' 33"" S";"45° 7' 58"" W";756 m
SWWQ;"13° 46' 10"" S";"49° 56' 7"" W";253 m
SWSA;"23° 29' 45"" S";"51° 19' 12"" W";742 m
SNWZ;"9° 22' 54"" S";"50° 34' 4"" W";212 m
SNGP;"18° 35' 12"" S";"48° 52' 11"" W";868 m
SWXL;"19° 43' 16"" S";"51° 57' 1"" W";445 m
SWTK;"14° 11' 58"" S";"60° 16' 48"" W";213 m
SJHK;"17° 8' 40"" S";"56° 35' 52"" W";101 m
SSCU;"8° 52' 5"" S";"50° 28' 46"" W";307 m
SWTG;"20° 50' 50"" S";"50° 47' 17"" W";337 m
SIFD;"21° 22' 27"" S";"53° 51' 53"" W";445 m
SDVJ;"8° 39' 34"" S";"50° 27' 20"" W";219 m
SWRS;"16° 56' 0"" S";"54° 54' 25"" W";311 m
SNJV;"15° 59' 54"" S";"43° 44' 18"" W";516 m
SDFZ;"11° 39' 49"" S";"45° 44' 2"" W";790 m
SDRC;"22° 10' 55"" S";"50° 51' 57"" W";490 m
SIUS;"11° 12' 50"" S";"45° 51' 7"" W";777 m
SSSA;"21° 59' 37"" S";"56° 14' 22"" W";319 m
SWFI;"15° 38' 35"" S";"57° 32' 53"" W";156 m
SSWO;"13° 59' 52"" S";"60° 4' 27"" W";175 m
SNWL;"20° 2' 43"" S";"54° 9' 55"" W";576 m
SWRT;"17° 20' 52"" S";"53° 11' 35"" W";715 m
SJBR;"12° 14' 39"" S";"48° 58' 12"" W";284 m
SSXV;"22° 56' 38"" S";"54° 6' 22"" W";350 m
SWGW;"15° 26' 19"" S";"51° 35' 54"" W";319 m
SWOY;"17° 54' 2"" S";"54° 39' 26"" W";206 m
SWQS;"20° 56' 29"" S";"53° 26' 7"" W";434 m
SINR;"17° 3' 52"" S";"57° 45' 51"" W";109 m
SNAC;"7° 2' 11"" S";"50° 5' 18"" W";213 m
SSKQ;"14° 32' 28"" S";"50° 27' 43"" W";291 m
SJSR;"13° 59' 37"" S";"49° 45' 24"" W";318 m
SNKX;"19° 43' 23"" S";"57° 45' 10"" W";85 m
SWSV;"14° 23' 19"" S";"51° 22' 50"" W";245 m
SJQS;"11° 27' 49"" S";"54° 3' 4"" W";363 m
SIKP;"18° 18' 13"" S";"57° 30' 25"" W";105 m
SJYW;"10° 20' 44"" S";"50° 56' 14"" W";229 m
SNWK;"16° 40' 28"" S";"54° 15' 59"" W";220 m
SICS;"13° 40' 18"" S";"55° 32' 0"" W";480 m
SSXZ;"14° 2' 3"" S";"46° 58' 57"" W";455 m
SIWT;"10° 21' 43"" S";"50° 36' 37"" W";220 m
SWXK;"18° 13' 58"" S";"51° 12' 8"" W";655 m
SDST;"21° 52' 53"" S";"47° 46' 31"" W";707 m
SWSU;"22° 56' 16"" S";"53° 49' 46"" W";345 m
SIOT;"21° 29' 17"" S";"52° 24' 26"" W";318 m
SNZE;"29° 18' 1"" S";"55° 53' 20"" W";112 m
SWEA;"13° 27' 4"" S";"60° 16' 13"" W";267 m
SISO;"0° 5' 31"" S";"49° 34' 52"" W";6 m
SIZG;"12° 37' 54"" S";"57° 17' 45"" W";337 m
SJVD;"14° 13' 28"" S";"53° 27' 34"" W";425 m
SNGW;"14° 49' 36"" S";"40° 39' 3"" W";895 m
SDAN;"22° 14' 44"" S";"48° 15' 28"" W";512 m
SWSD;"15° 37' 1"" S";"51° 48' 52"" W";310 m
SNTX;"4° 30' 28"" S";"46° 16' 2"" W";326 m
SDQM;"11° 42' 19"" S";"45° 59' 29"" W";810 m
SNFA;"16° 43' 1"" S";"46° 31' 21"" W";547 m
SWOZ;"15° 18' 38"" S";"54° 53' 57"" W";654 m
SDAS;"21° 16' 31"" S";"51° 17' 0"" W";352 m
SNUX;"21° 24' 17"" S";"53° 18' 25"" W";348 m
SSTM;"7° 47' 35"" S";"61° 41' 2"" W";75 m
SDQJ;"11° 39' 37"" S";"43° 49' 9"" W";424 m
SWVF;"16° 0' 40"" S";"59° 55' 30"" W";226 m
SWBX;"17° 29' 30"" S";"55° 13' 27"" W";189 m
SIFO;"22° 13' 55"" S";"46° 58' 10"" W";682 m
SWTZ;"20° 44' 21"" S";"53° 32' 8"" W";402 m
SILZ;"9° 50' 10"" S";"47° 18' 18"" W";353 m
SSSH;"19° 11' 57"" S";"57° 0' 40"" W";84 m
SIRX;"15° 16' 51"" S";"57° 47' 38"" W";200 m
SSRM;"7° 24' 25"" S";"50° 4' 8"" W";226 m
SNSR;"17° 33' 1"" S";"46° 58' 45"" W";660 m
SNZG;"23° 51' 40"" S";"48° 14' 12"" W";620 m
SIEB;"21° 4' 18"" S";"55° 7' 29"" W";534 m
SWOC;"22° 1' 31"" S";"57° 21' 53"" W";135 m
SJSB;"20° 6' 20"" S";"57° 20' 28"" W";87 m
SIQX;"9° 22' 23"" S";"35° 32' 24"" W";50 m
SSJU;"15° 16' 50"" S";"54° 25' 36"" W";683 m
SSEV;"18° 5' 14"" S";"57° 7' 53"" W";88 m
SJUQ;"23° 7' 10"" S";"45° 51' 6"" W";557 m
SDYE;"10° 37' 41"" S";"45° 44' 39"" W";765 m
SDCJ;"17° 41' 13"" S";"53° 35' 28"" W";568 m
SNNO;"14° 3' 50"" S";"59° 51' 59"" W";305 m
SNSV;"20° 44' 15"" S";"53° 17' 38"" W";459 m
SWFE;"9° 17' 35"" S";"61° 48' 23"" W";130 m
SJFW;"15° 51' 16"" S";"49° 14' 40"" W";660 m
SDDQ;"11° 41' 39"" S";"45° 30' 32"" W";756 m
SWJF;"17° 38' 53"" S";"56° 53' 59"" W";106 m
SWSF;"15° 13' 26"" S";"60° 13' 0"" W";263 m
SIUF;"10° 9' 24"" S";"53° 42' 6"" W";355 m
SDLV;"22° 55' 15"" S";"51° 21' 7"" W";482 m
SIGS;"13° 55' 10"" S";"50° 0' 36"" W";300 m
SNSF;"23° 28' 30"" S";"49° 32' 38"" W";519 m
SDDD;"17° 51' 39"" S";"55° 47' 4"" W";132 m
SNQP;"20° 34' 3"" S";"50° 13' 49"" W";438 m
SWQC;"17° 30' 10"" S";"51° 35' 42"" W";952 m
SJNV;"18° 25' 49"" S";"50° 15' 23"" W";566 m
SNUJ;"15° 20' 50"" S";"58° 34' 18"" W";310 m
SJGB;"18° 57' 53"" S";"44° 16' 19"" W";770 m
SWGU;"12° 39' 22"" S";"58° 14' 57"" W";424 m
SJZG;"9° 34' 25"" S";"49° 43' 6"" W";164 m
SJOM;"16° 54' 9"" S";"53° 35' 14"" W";854 m
SDKQ;"20° 13' 0"" S";"49° 4' 0"" W";510 m
SSVJ;"17° 56' 10"" S";"53° 54' 17"" W";345 m
SNAY;"15° 14' 51"" S";"59° 21' 9"" W";301 m
SSZT;"22° 47' 22"" S";"49° 20' 21"" W";654 m
SING;"20° 33' 24"" S";"49° 17' 19"" W";540 m
SWJQ;"23° 50' 33"" S";"55° 26' 10"" W";463 m
SSJY;"17° 42' 27"" S";"56° 13' 2"" W";46 m
SJHJ;"8° 22' 24"" S";"45° 8' 16"" W";516 m
SSZG;"19° 15' 43"" S";"52° 54' 1"" W";515 m
SWHS;"18° 3' 12"" S";"50° 23' 13"" W";519 m
SJJM;"10° 19' 42"" S";"54° 34' 52"" W";296 m
SDDC;"15° 58' 15"" S";"59° 53' 28"" W";220 m
SNWI;"14° 4' 8"" S";"60° 0' 33"" W";181 m
SSPU;"15° 47' 8"" S";"59° 38' 12"" W";248 m
SDJG;"9° 1' 7"" S";"44° 35' 31"" W";565 m
SJVR;"21° 29' 15"" S";"56° 29' 11"" W";368 m
SDNE;"22° 11' 55"" S";"51° 58' 35"" W";483 m
SIEX;"19° 0' 32"" S";"50° 25' 53"" W";455 m
SDJQ;"20° 49' 42"" S";"51° 0' 29"" W";367 m
SJSJ;"16° 20' 40"" S";"39° 41' 12"" W";221 m
SWSJ;"13° 44' 29"" S";"58° 53' 42"" W";590 m
SWJO;"15° 26' 1"" S";"54° 26' 27"" W";639 m
SDTX;"20° 32' 31"" S";"51° 21' 27"" W";377 m
SNSY;"20° 56' 42"" S";"55° 29' 46"" W";380 m
SJDJ;"19° 5' 42"" S";"53° 30' 14"" W";617 m
SIYF;"18° 13' 59"" S";"52° 17' 39"" W";697 m
SDGJ;"21° 19' 51"" S";"56° 54' 39"" W";296 m
SISZ;"8° 30' 49"" S";"49° 23' 5"" W";165 m
SIEF;"20° 34' 24"" S";"54° 43' 1"" W";525 m
SDJZ;"29° 56' 56"" S";"54° 8' 50"" W";105 m
SWDG;"21° 44' 40"" S";"49° 9' 53"" W";460 m
SIDF;"16° 4' 3"" S";"58° 28' 47"" W";206 m
SJJI;"10° 13' 9"" S";"54° 47' 59"" W";287 m
SJHQ;"11° 2' 1"" S";"52° 20' 2"" W";352 m
SDYB;"23° 47' 4"" S";"48° 20' 18"" W";668 m
SNFI;"18° 23' 15"" S";"48° 51' 42"" W";576 m
SISJ;"17° 27' 15"" S";"55° 33' 33"" W";130 m
SDOB;"21° 25' 31"" S";"46° 45' 16"" W";803 m
SJWV;"13° 22' 41"" S";"50° 25' 28"" W";314 m
SNHP;"21° 33' 40"" S";"52° 58' 30"" W";337 m
SWVJ;"13° 35' 53"" S";"59° 57' 2"" W";475 m
SIFW;"17° 43' 9"" S";"56° 59' 51"" W";101 m
SDKC;"22° 18' 13"" S";"49° 27' 44"" W";540 m
SWLS;"24° 11' 56"" S";"53° 52' 27"" W";306 m
SDJN;"21° 5' 48"" S";"47° 44' 2"" W";589 m
SNSL;"12° 25' 31"" S";"46° 14' 59"" W";902 m
SWLZ;"17° 27' 7"" S";"47° 15' 0"" W";940 m
SNLD;"19° 52' 12"" S";"50° 39' 10"" W";356 m
SJSU;"23° 33' 42"" S";"53° 47' 50"" W";292 m
SNDS;"20° 21' 26"" S";"51° 15' 20"" W";385 m
SSMZ;"13° 55' 2"" S";"59° 59' 0"" W";326 m
SNWH;"22° 57' 43"" S";"53° 32' 48"" W";269 m
SSMI;"15° 21' 33"" S";"54° 58' 48"" W";673 m
SNTA;"21° 52' 7"" S";"50° 6' 59"" W";440 m
SNEI;"30° 10' 43"" S";"52° 10' 20"" W";74 m
SDTV;"12° 36' 39"" S";"46° 14' 47"" W";907 m
SSMC;"22° 4' 55"" S";"53° 31' 12"" W";363 m
SWQT;"9° 51' 45"" S";"58° 13' 51"" W";221 m
SSLB;"19° 1' 31"" S";"55° 55' 34"" W";120 m
SSPW;"18° 6' 19"" S";"53° 9' 9"" W";874 m
SSXW;"22° 17' 44"" S";"53° 50' 56"" W";364 m
SDEB;"23° 16' 10"" S";"49° 32' 51"" W";853 m
SSGS;"23° 39' 51"" S";"54° 4' 46"" W";305 m
SICP;"16° 47' 59"" S";"46° 44' 39"" W";572 m
SDVK;"21° 47' 41"" S";"53° 28' 28"" W";363 m
SJCP;"17° 4' 4"" S";"50° 50' 44"" W";767 m
SJDT;"19° 31' 6"" S";"55° 18' 43"" W";160 m
SJAS;"21° 39' 37"" S";"49° 9' 52"" W";416 m
SWNL;"20° 10' 45"" S";"54° 3' 6"" W";504 m
SIWU;"19° 21' 31"" S";"56° 24' 42"" W";106 m
SIRS;"19° 38' 12"" S";"48° 47' 19"" W";733 m
SDSB;"19° 59' 45"" S";"47° 31' 26"" W";520 m
SISD;"18° 8' 43"" S";"51° 16' 26"" W";663 m
SSTL;"13° 4' 6"" S";"46° 15' 33"" W";981 m
SDWJ;"13° 19' 45"" S";"58° 2' 31"" W";504 m
SIJO;"18° 34' 38"" S";"57° 30' 40"" W";104 m
SWSN;"14° 59' 20"" S";"59° 18' 39"" W";266 m
SJHS;"19° 18' 38"" S";"48° 20' 35"" W";814 m
SSFS;"13° 19' 57"" S";"58° 46' 56"" W";542 m
SJJQ;"15° 43' 14"" S";"42° 24' 25"" W";812 m
SIKQ;"14° 47' 18"" S";"59° 20' 46"" W";282 m
SSVM;"14° 41' 55"" S";"45° 49' 52"" W";896 m
SIMG;"21° 5' 32"" S";"57° 43' 5"" W";90 m
SNVJ;"14° 42' 14"" S";"58° 32' 35"" W";561 m
SSQO;"17° 39' 10"" S";"42° 15' 55"" W";1128 m
SSGM;"21° 41' 36"" S";"56° 33' 45"" W";321 m
SSDM;"13° 50' 1"" S";"38° 59' 21"" W";5 m
SDKX;"14° 37' 41"" S";"55° 39' 18"" W";326 m
SIZA;"14° 40' 5"" S";"54° 34' 8"" W";508 m
SJCQ;"11° 56' 8"" S";"40° 2' 59"" W";343 m
SSVU;"17° 41' 53"" S";"44° 20' 53"" W";1181 m
SITV;"18° 32' 42"" S";"54° 27' 34"" W";326 m
SDJX;"13° 6' 16"" S";"48° 22' 55"" W";483 m
SIGW;"8° 20' 36"" S";"45° 31' 5"" W";530 m
SNQE;"6° 4' 8"" S";"49° 50' 24"" W";208 m
SJCC;"13° 55' 51"" S";"46° 13' 52"" W";1003 m
SSSR;"12° 59' 57"" S";"46° 0' 7"" W";846 m
SIYS;"6° 13' 33"" S";"48° 15' 7"" W";142 m
SSTZ;"19° 17' 14"" S";"56° 8' 7"" W";118 m
SSYI;"13° 3' 22"" S";"40° 50' 3"" W";341 m
SIFA;"19° 47' 8"" S";"56° 28' 26"" W";100 m
SSXP;"12° 33' 42"" S";"51° 41' 41"" W";363 m
SWRC;"12° 38' 25"" S";"51° 55' 50"" W";328 m
SDSH;"9° 59' 16"" S";"56° 40' 35"" W";267 m
SJJN;"10° 16' 58"" S";"56° 19' 32"" W";334 m
SDOE;"5° 43' 20"" S";"45° 47' 29"" W";226 m
SSSY;"22° 31' 25"" S";"53° 29' 58"" W";238 m
SWSG;"13° 36' 16"" S";"59° 19' 2"" W";643 m
SJKJ;"13° 33' 41"" S";"59° 15' 58"" W";604 m
SIML;"15° 50' 53"" S";"55° 50' 19"" W";154 m
SWTH;"2° 55' 9"" N";"60° 30' 46"" W";75 m
SIHB;"5° 27' 21"" S";"46° 3' 45"" W";127 m
SNYV;"2° 7' 11"" S";"48° 38' 45"" W";31 m
SDBD;"12° 17' 43"" S";"55° 32' 13"" W";360 m
SNRK;"17° 23' 0"" S";"47° 32' 11"" W";801 m
SDXW;"18° 59' 48"" S";"55° 7' 59"" W";169 m
SSUA;"17° 37' 50"" S";"54° 46' 10"" W";480 m
SJFO;"16° 9' 53"" S";"50° 8' 19"" W";704 m
SSAH;"11° 31' 39"" S";"51° 13' 23"" W";222 m
SIYK;"17° 27' 24"" S";"48° 12' 55"" W";794 m
SSHQ;"22° 21' 6"" S";"52° 40' 27"" W";363 m
SWQG;"21° 27' 26"" S";"55° 25' 16"" W";520 m
SNDQ;"12° 55' 16"" S";"45° 34' 10"" W";777 m
SIWB;"23° 11' 25"" S";"55° 17' 12"" W";600 m
SIMR;"17° 45' 3"" S";"51° 9' 22"" W";831 m
SSLW;"18° 48' 28"" S";"52° 36' 1"" W";813 m
SSZS;"10° 1' 36"" S";"51° 48' 34"" W";300 m
SSVS;"21° 41' 44"" S";"54° 46' 7"" W";800 m
SDUS;"9° 11' 26"" S";"61° 46' 14"" W";153 m
SSSU;"18° 52' 33"" S";"55° 3' 37"" W";198 m
SDZX;"14° 48' 48"" S";"53° 7' 27"" W";381 m
SILL;"22° 47' 39"" S";"49° 16' 13"" W";655 m
SDQK;"18° 53' 4"" S";"55° 22' 3"" W";154 m
SNUU;"14° 8' 6"" S";"50° 49' 25"" W"; m
SDTH;"13° 8' 24"" S";"57° 34' 36"" W";372 m
SDDI;"21° 35' 45"" S";"50° 50' 7"" W";638 m
SITR;"18° 5' 58"" S";"49° 44' 13"" W";206 m
SWZE;"15° 3' 44"" S";"59° 22' 27"" W";335 m
SNGV;"12° 43' 37"" S";"52° 23' 3"" W";345 m
SWUE;"10° 42' 12"" S";"55° 56' 12"" W";265 m
SDTE;"23° 13' 12"" S";"49° 4' 31"" W";588 m
SJZE;"10° 32' 32"" S";"50° 33' 36"" W";183 m
SJJK;"10° 1' 44"" S";"56° 44' 18"" W";299 m
SWHZ;"10° 20' 15"" S";"55° 57' 34"" W";286 m
SWQQ;"23° 54' 13"" S";"54° 58' 55"" W";332 m
SWXZ;"13° 18' 45"" S";"60° 17' 36"" W";293 m
SNQZ;"22° 32' 48"" S";"55° 0' 11"" W";472 m
SWIL;"17° 0' 57"" S";"54° 20' 59"" W";362 m
SIAJ;"16° 59' 0"" S";"39° 9' 50"" W";13 m
SIEQ;"13° 18' 21"" S";"56° 34' 23"" W";335 m
SIYX;"21° 20' 30"" S";"57° 50' 50"" W";84 m
SITF;"22° 21' 39"" S";"55° 45' 28"" W";694 m
SJQQ;"2° 51' 54"" S";"50° 59' 34"" W";20 m
SIQS;"15° 22' 35"" S";"57° 7' 47"" W";220 m
SSYW;"18° 15' 59"" S";"54° 46' 43"" W";434 m
SSUQ;"13° 12' 13"" S";"45° 15' 14"" W";767 m
SDNT;"10° 24' 52"" S";"48° 15' 24"" W";271 m
SWFW;"11° 32' 50"" S";"56° 1' 37"" W";371 m
SDUE;"25° 31' 0"" S";"49° 42' 0"" W";1020 m
SNTV;"12° 30' 57"" S";"46° 8' 39"" W";869 m
SJTR;"12° 31' 30"" S";"46° 11' 50"" W";902 m
SNFT;"11° 19' 25"" S";"54° 34' 27"" W";351 m
SIAT;"13° 10' 57"" S";"57° 59' 50"" W";501 m
SIJS;"3° 27' 17"" S";"47° 31' 43"" W";171 m
SISU;"14° 58' 2"" S";"43° 18' 53"" W";487 m
SSTY;"22° 35' 49"" S";"42° 1' 30"" W";3 m
SITB;"23° 0' 51"" S";"53° 47' 15"" W";290 m
SDUF;"21° 4' 50"" S";"57° 30' 24"" W";150 m
SIFT;"16° 8' 40"" S";"60° 7' 13"" W";265 m
SSVY;"20° 56' 16"" S";"48° 10' 24"" W";480 m
SJBZ;"18° 57' 33"" S";"51° 6' 36"" W";473 m
SWQL;"16° 40' 57"" S";"52° 15' 10"" W";631 m
SNLF;"10° 4' 54"" S";"51° 53' 19"" W";290 m
SWOF;"18° 2' 21"" S";"53° 9' 4"" W";876 m
SSIY;"9° 20' 44"" S";"55° 53' 5"" W";289 m
SILT;"20° 13' 40"" S";"50° 58' 6"" W";445 m
SSLK;"20° 24' 21"" S";"44° 59' 52"" W";828 m
SNZP;"13° 15' 30"" S";"58° 43' 41"" W";535 m
SWUU;"19° 30' 12"" S";"53° 3' 1"" W";555 m
SSMP;"23° 40' 22"" S";"52° 0' 36"" W";426 m
SWMU;"19° 38' 34"" S";"54° 1' 55"" W";558 m
SJNK;"12° 4' 54"" S";"61° 38' 34"" W";341 m
SJGT;"19° 49' 50"" S";"52° 35' 7"" W";439 m
SWIM;"16° 7' 6"" S";"51° 40' 25"" W";348 m
SSJZ;"24° 3' 6"" S";"54° 0' 24"" W";305 m
SNTL;"7° 13' 8"" S";"49° 10' 9"" W";236 m
SWXF;"12° 26' 56"" S";"45° 40' 46"" W";743 m
SDZI;"14° 47' 43"" S";"46° 0' 18"" W";944 m
SIMP;"17° 38' 18"" S";"54° 4' 43"" W";586 m
SJTN;"9° 10' 35"" S";"63° 40' 39"" W";96 m
SDTR;"16° 7' 47"" S";"59° 53' 51"" W";246 m
SJFT;"10° 5' 35"" S";"57° 43' 37"" W";259 m
SDMK;"20° 58' 14"" S";"52° 31' 22"" W";397 m
SWXC;"12° 53' 10"" S";"61° 17' 54"" W";299 m
SJTU;"13° 34' 58"" S";"57° 33' 34"" W";538 m
SJWT;"13° 37' 57"" S";"45° 47' 57"" W";851 m
SWTU;"13° 27' 55"" S";"58° 51' 59"" W";565 m
SSTU;"23° 41' 34"" S";"54° 22' 43"" W";376 m
SDHK;"14° 6' 38"" S";"49° 2' 47"" W";523 m
SNOH;"14° 51' 26"" S";"52° 2' 10"" W";266 m
SWZN;"14° 4' 18"" S";"52° 2' 22"" W";297 m
SNTU;"13° 20' 49"" S";"53° 39' 2"" W";404 m
SSKB;"19° 28' 28"" S";"56° 22' 38"" W";95 m
SIJM;"13° 27' 18"" S";"58° 35' 22"" W";524 m
SWBT;"21° 48' 19"" S";"53° 7' 43"" W";464 m
SDPR;"15° 9' 20"" S";"59° 18' 37"" W";301 m
SNOW;"21° 58' 56"" S";"50° 58' 20"" W";433 m
SIUB;"17° 16' 31"" S";"57° 53' 48"" W";112 m
SIIS;"23° 39' 0"" S";"53° 49' 49"" W";335 m
SJUI;"6° 51' 25"" S";"48° 26' 24"" W";207 m
SWUN;"19° 17' 33"" S";"52° 3' 39"" W";536 m
SJDE;"22° 38' 39"" S";"54° 5' 51"" W";406 m
SJBC;"8° 59' 24"" S";"51° 12' 54"" W";335 m
SDHR;"20° 54' 43"" S";"57° 13' 58"" W";130 m
SIXA;"20° 31' 54"" S";"51° 5' 30"" W";426 m
SJQX;"3° 31' 23"" S";"53° 23' 47"" W";82 m
SNPG;"17° 18' 5"" S";"56° 29' 53"" W";105 m
SSJB;"23° 4' 2"" S";"53° 49' 15"" W";326 m
SJZL;"22° 13' 18"" S";"57° 9' 29"" W";132 m
SSDS;"12° 25' 56"" S";"56° 11' 46"" W";385 m
SIVY;"11° 40' 15"" S";"52° 5' 41"" W";345 m
SIKS;"9° 24' 9"" S";"58° 13' 44"" W";211 m
SWVK;"13° 2' 13"" S";"55° 19' 34"" W";430 m
SWAV;"16° 47' 31"" S";"51° 26' 44"" W";797 m
SDVH;"23° 0' 19"" S";"46° 38' 13"" W";831 m
SNDA;"15° 22' 55"" S";"58° 38' 59"" W";237 m
SDFY;"19° 24' 38"" S";"55° 10' 24"" W";538 m
SWZP;"16° 23' 8"" S";"54° 12' 15"" W";375 m
SNYH;"8° 48' 3"" S";"51° 10' 18"" W";334 m
SJDC;"9° 57' 40"" S";"49° 45' 7"" W";177 m
SNBF;"13° 21' 20"" S";"52° 45' 8"" W";404 m
SDNA;"19° 40' 19"" S";"48° 59' 43"" W";712 m
SSLL;"9° 37' 17"" S";"65° 46' 13"" W";179 m
SISN;"17° 4' 0"" S";"45° 52' 0"" W";523 m
SWIK;"14° 55' 2"" S";"51° 17' 2"" W";285 m
SIWN;"17° 50' 52"" S";"49° 34' 56"" W";654 m
SNHG;"12° 20' 29"" S";"49° 37' 16"" W";242 m
SJVA;"12° 58' 9"" S";"57° 24' 4"" W";350 m
SJVF;"16° 35' 23"" S";"57° 43' 39"" W";201 m
SDVS;"21° 4' 27"" S";"48° 1' 52"" W";549 m
SSWT;"21° 17' 7"" S";"56° 7' 13"" W";320 m
SJIV;"9° 20' 18"" S";"49° 53' 16"" W";192 m
SDEV;"13° 8' 46"" S";"59° 5' 46"" W";530 m
SNVK;"13° 10' 26"" S";"46° 14' 27"" W";981 m
SNVM;"13° 9' 36"" S";"46° 11' 49"" W";1005 m
SSVB;"13° 8' 6"" S";"46° 9' 58"" W";934 m
SSPV;"17° 56' 58"" S";"53° 53' 45"" W";350 m
SIZK;"14° 52' 30"" S";"52° 6' 37"" W";279 m
SNWO;"23° 1' 4"" S";"54° 37' 28"" W";305 m
SJBT;"19° 34' 28"" S";"56° 5' 58"" W";127 m
SIJZ;"7° 23' 41"" S";"56° 45' 53"" W";244 m
SIKM;"5° 17' 21"" S";"46° 0' 6"" W";263 m
SIUV;"12° 12' 33"" S";"57° 27' 12"" W";360 m
SNKT;"23° 8' 15"" S";"53° 50' 36"" W";295 m
SDOD;"5° 50' 24"" S";"45° 32' 31"" W";250 m
SNFZ;"17° 24' 19"" S";"43° 56' 23"" W";780 m
SSVA;"19° 3' 45"" S";"57° 37' 45"" W";245 m
SSWV;"9° 38' 47"" S";"51° 54' 48"" W";309 m
SDQT;"22° 35' 51"" S";"53° 41' 29"" W";348 m
SIZH;"19° 59' 47"" S";"51° 30' 51"" W";452 m
SICN;"22° 30' 12"" S";"51° 48' 46"" W";411 m
SIKW;"18° 8' 49"" S";"39° 35' 38"" W";16 m
SWOQ;"8° 29' 30"" S";"44° 23' 5"" W";593 m
SJVY;"18° 45' 18"" S";"51° 28' 38"" W";512 m
