codigo;latitude;longitude;altitude
SNQQ;"14° 29' 48"" S";"47° 2' 10"" W";445 m
SDCB;"15° 46' 24"" S";"47° 42' 10"" W";959 m
SDOI;"23° 17' 53"" S";"47° 41' 31"" W";625 m
SJSM;"24° 12' 35"" S";"53° 0' 34"" W";490 m
SDWV;"2° 34' 22"" S";"51° 57' 13"" W";30 m
SWLY;"20° 52' 52"" S";"51° 21' 23"" W";410 m
SNYP;"1° 19' 4"" S";"48° 17' 56"" W";21 m
SWRD;"11° 43' 54"" S";"62° 42' 33"" W";184 m
SWXJ;"15° 35' 45"" S";"56° 0' 15"" W";166 m
SWMT;"23° 29' 6"" S";"52° 34' 21"" W";441 m
SDXE;"21° 15' 48"" S";"48° 21' 19"" W";621 m
SSHD;"29° 49' 5"" S";"55° 42' 51"" W";116 m
SDQQ;"22° 17' 8"" S";"50° 38' 22"" W";594 m
SIKI;"3° 45' 16"" S";"39° 57' 6"" W";151 m
SNJC;"3° 41' 41"" S";"39° 24' 31"" W";87 m
SNCI;"1° 14' 10"" S";"47° 12' 19"" W";53 m
SICK;"17° 40' 58"" S";"42° 31' 52"" W";949 m
SIXM;"15° 38' 37"" S";"55° 59' 24"" W";206 m
SNXY;"2° 42' 1"" S";"50° 31' 43"" W";30 m
SIVJ;"19° 27' 3"" S";"43° 54' 2"" W";717 m
SJAC;"1° 50' 26"" S";"47° 11' 4"" W";67 m
SJEH;"22° 6' 5"" S";"48° 13' 36"" W";714 m
SIVG;"11° 52' 35"" S";"55° 26' 48"" W";376 m
SIAN;"22° 57' 41"" S";"43° 39' 34"" W";15 m
SWON;"26° 33' 41"" S";"48° 41' 46"" W";5 m
SJXA;"20° 4' 28"" S";"44° 39' 15"" W";805 m
SWES;"23° 17' 14"" S";"51° 5' 26"" W";493 m
SWEQ;"1° 16' 2"" S";"48° 25' 48"" W";19 m
SWYV;"21° 5' 29"" S";"49° 13' 27"" W";485 m
SJPU;"5° 1' 53"" S";"42° 43' 7"" W";140 m
SIVQ;"23° 18' 53"" S";"48° 1' 48"" W";660 m
SWVN;"23° 10' 23"" S";"47° 24' 43"" W";539 m
SNIF;"20° 59' 17"" S";"42° 56' 16"" W";368 m
SWMY;"8° 18' 27"" S";"55° 5' 13"" W";251 m
SNWE;"7° 2' 47"" S";"34° 54' 46"" W";76 m
SDVO;"7° 17' 3"" S";"48° 7' 50"" W";259 m
SSCO;"31° 46' 27"" S";"52° 27' 5"" W";10 m
SWKE;"11° 29' 6"" S";"49° 57' 16"" W";191 m
SWCD;"10° 45' 40"" S";"55° 27' 44"" W";300 m
SIXZ;"9° 26' 47"" S";"59° 11' 57"" W";160 m
SIME;"5° 35' 1"" S";"47° 25' 41"" W";135 m
SDVI;"14° 38' 44"" S";"57° 30' 10"" W";424 m
SSML;"13° 11' 48"" S";"43° 38' 8"" W";453 m
SIUW;"12° 0' 20"" S";"41° 18' 16"" W";1020 m
SINN;"28° 58' 31"" S";"49° 29' 22"" W";890 m
SJCA;"21° 31' 54"" S";"47° 2' 49"" W";621 m
SJGL;"16° 40' 18"" S";"48° 0' 37"" W";820 m
SWDS;"10° 57' 14"" S";"61° 59' 36"" W";194 m
SNDD;"23° 4' 5"" S";"47° 19' 26"" W";654 m
SJRI;"8° 24' 23"" S";"45° 26' 29"" W";556 m
SSQQ;"20° 20' 25"" S";"54° 35' 25"" W";702 m
SWIT;"25° 29' 4"" S";"54° 26' 29"" W";273 m
SSVG;"20° 45' 40"" S";"45° 59' 10"" W";787 m
SSBI;"11° 51' 11"" S";"46° 18' 11"" W";869 m
SNLL;"16° 26' 57"" S";"49° 0' 44"" W";1022 m
SIFQ;"29° 2' 41"" S";"51° 8' 36"" W";782 m
SWLD;"8° 15' 10"" S";"45° 14' 50"" W";572 m
SJHG;"10° 38' 1"" S";"51° 34' 2"" W";238 m
SNKP;"22° 23' 2"" S";"52° 6' 29"" W";409 m
SJKT;"4° 10' 18"" N";"60° 32' 37"" W";176 m
SSWB;"16° 0' 52"" S";"47° 33' 29"" W";1049 m
SSKP;"24° 18' 32"" S";"53° 50' 32"" W";320 m
SJLZ;"11° 50' 6"" S";"49° 42' 44"" W";192 m
SIFC;"7° 50' 40"" S";"34° 53' 29"" W";10 m
SNOZ;"2° 31' 25"" S";"44° 7' 27"" W";47 m
SJNX;"18° 24' 28"" S";"52° 37' 48"" W";832 m
SNME;"12° 29' 23"" S";"38° 1' 25"" W";51 m
SDEN;"27° 10' 0"" S";"48° 37' 18"" W";6 m
SNKH;"8° 7' 1"" S";"57° 7' 2"" W";300 m
SSXT;"22° 10' 56"" S";"50° 29' 35"" W";426 m
SWKU;"1° 7' 14"" N";"66° 50' 30"" W";83 m
SJKU;"4° 48' 50"" N";"60° 28' 25"" W";667 m
SJKV;"4° 28' 13"" N";"60° 46' 41"" W";363 m
SJKW;"4° 25' 37"" N";"60° 49' 26"" W";363 m
SNQW;"7° 33' 52"" S";"57° 44' 32"" W";138 m
SJKX;"4° 10' 12"" N";"59° 44' 55"" W";151 m
SJND;"4° 6' 35"" S";"38° 14' 34"" W";19 m
SJXE;"3° 9' 16"" S";"41° 52' 5"" W";58 m
SNDP;"11° 25' 31"" S";"52° 13' 8"" W";348 m
SJNQ;"17° 29' 6"" S";"40° 9' 28"" W";200 m
SJZC;"8° 46' 44"" S";"35° 47' 6"" W";418 m
SWDU;"7° 28' 14"" S";"34° 53' 22"" W";10 m
SWDT;"16° 26' 20"" S";"49° 11' 58"" W";811 m
SJDS;"3° 55' 2"" S";"38° 29' 21"" W";46 m
SILJ;"0° 50' 0"" S";"52° 30' 9"" W";41 m
SNDR;"5° 4' 51"" S";"42° 52' 25"" W";92 m
SJWL;"25° 25' 2"" S";"49° 30' 55"" W";981 m
SIDV;"21° 46' 49"" S";"43° 16' 49"" W";648 m
SIDB;"4° 16' 8"" S";"43° 0' 2"" W";53 m
SSWH;"21° 54' 24"" S";"47° 49' 16"" W";701 m
SIII;"20° 25' 59"" S";"48° 13' 28"" W";548 m
SJOO;"14° 8' 4"" S";"59° 49' 10"" W";279 m
SDJA;"22° 11' 41"" S";"47° 51' 43"" W";783 m
SDHX;"30° 44' 59"" S";"51° 32' 6"" W";40 m
SIZD;"27° 17' 17"" S";"48° 39' 29"" W";2 m
SSDF;"12° 31' 2"" S";"38° 30' 1"" W";45 m
SIRR;"0° 48' 5"" N";"61° 39' 38"" W";81 m
SDED;"22° 26' 25"" S";"47° 42' 3"" W";612 m
SJEC;"31° 41' 12"" S";"52° 28' 4"" W";46 m
SSMK;"30° 4' 21"" S";"51° 24' 40"" W";13 m
SIEL;"11° 54' 3"" S";"61° 13' 50"" W";228 m
SIIG;"22° 21' 40"" S";"51° 6' 5"" W";535 m
SDBX;"25° 59' 54"" S";"52° 55' 36"" W";500 m
SIJR;"25° 32' 22"" S";"49° 36' 0"" W";883 m
SWEM;"14° 37' 8"" S";"54° 0' 12"" W";560 m
SWVZ;"14° 45' 0"" S";"56° 21' 10"" W";720 m
SBGP;"21° 45' 52"" S";"48° 24' 17"" W";609 m
SNAN;"28° 4' 1"" S";"53° 52' 40"" W";479 m
SJIR;"13° 18' 28"" S";"40° 52' 58"" W";528 m
SNNM;"25° 33' 58"" S";"51° 29' 48"" W";1098 m
SWAQ;"3° 45' 48"" N";"62° 24' 34"" W";210 m
SSPE;"14° 26' 8"" S";"55° 36' 34"" W";255 m
SSLM;"16° 32' 56"" S";"48° 56' 30"" W";1070 m
SIQH;"22° 39' 32"" S";"54° 49' 20"" W";460 m
SSEX;"19° 58' 8"" S";"56° 18' 42"" W";130 m
SJVM;"9° 53' 31"" S";"56° 7' 46"" W";288 m
SDES;"20° 45' 43"" S";"47° 51' 43"" W";723 m
SWEC;"15° 54' 9"" S";"52° 5' 55"" W";310 m
SJEG;"20° 9' 37"" S";"57° 9' 32"" W";132 m
SSFE;"25° 27' 42"" S";"54° 35' 50"" W";178 m
SITS;"13° 7' 49"" S";"55° 58' 56"" W";423 m
SNOI;"22° 0' 18"" S";"50° 29' 21"" W";430 m
SDEM;"22° 6' 4"" S";"51° 27' 6"" W";423 m
SSNA;"19° 54' 3"" S";"56° 26' 22"" W";133 m
SNEA;"30° 3' 29"" S";"55° 26' 8"" W";147 m
SWEP;"22° 48' 16"" S";"50° 58' 58"" W";350 m
SJQP;"12° 48' 3"" S";"50° 37' 41"" W";244 m
SWEN;"9° 56' 15"" S";"56° 5' 14"" W";306 m
SIAD;"21° 0' 32"" S";"57° 20' 53"" W";120 m
SWHR;"21° 51' 25"" S";"52° 11' 10"" W";280 m
SJCY;"15° 40' 46"" S";"55° 57' 20"" W";188 m
SITJ;"18° 20' 41"" S";"54° 46' 2"" W";334 m
SJKZ;"4° 26' 59"" N";"60° 26' 21"" W";303 m
SJEV;"6° 59' 21"" S";"39° 50' 39"" W";679 m
SDSJ;"24° 52' 17"" S";"53° 27' 55"" W";699 m
SSXF;"22° 21' 41"" S";"54° 33' 5"" W";321 m
SNRN;"21° 48' 32"" S";"49° 58' 16"" W";496 m
SJIJ;"14° 48' 55"" S";"52° 54' 34"" W";425 m
SWUX;"9° 14' 35"" S";"49° 40' 6"" W";184 m
SWIZ;"21° 17' 44"" S";"54° 28' 46"" W";463 m
SJUA;"15° 22' 26"" S";"46° 19' 52"" W";586 m
SNEK;"12° 57' 54"" S";"45° 58' 34"" W";810 m
SJUS;"15° 4' 36"" S";"51° 9' 28"" W";262 m
SSFD;"23° 0' 4"" S";"54° 41' 58"" W";373 m
SJKB;"13° 5' 15"" S";"58° 1' 33"" W";469 m
SWYW;"16° 49' 51"" S";"53° 50' 1"" W";747 m
SWJA;"27° 1' 3"" S";"48° 51' 12"" W";22 m
SNQJ;"20° 14' 34"" S";"44° 48' 19"" W";847 m
SWWL;"15° 41' 9"" S";"52° 16' 0"" W";369 m
SJGN;"13° 40' 5"" S";"56° 28' 54"" W";377 m
SNHW;"4° 19' 10"" S";"46° 13' 30"" W";298 m
SJVW;"11° 56' 50"" S";"45° 43' 31"" W";751 m
SNOQ;"23° 35' 56"" S";"55° 8' 33"" W";385 m
SWAM;"23° 38' 29"" S";"49° 9' 3"" W";660 m
SWSH;"17° 7' 29"" S";"45° 36' 17"" W";528 m
